"id","product","c_q_scl_powder_overall_liking","c_q_scl_powder_appearance_liking","c_q_scl_powder_aroma_liking","c_q_cata_powder_easy_to_prepare","c_q_cata_powder_dissolve_quickly","c_q_cata_powder_lumps","c_q_cata_powder_foamy","c_q_cata_powder_mild","c_q_cata_powder_milky","c_q_cata_powder_sweet","c_q_cata_powder_off_notes","c_q_cata_powder_nondairy_notes","c_q_cata_powder_natural_color","c_q_cata_powder_easy_scoop","c_q_scl_milk_preparation_liking","c_q_scl_milk_pretaste_appearance_liking","c_q_scl_milk_pretaste_overall_liking","c_q_scl_milk_posttaste_aroma_liking","c_q_scl_milk_posttaste_taste_liking","c_q_cata_milk_easy_prepare","c_q_cata_milk_easy_dissolve","c_q_cata_milk_lumps","c_q_cata_milk_low_foam","c_q_cata_milk_milk","c_q_cata_milk_milky","c_q_cata_milk_sweet","c_q_cata_milk_dairy_off_notes","c_q_cata_milk_smooth","c_q_cata_milk_natural_color","c_q_cata_milk_residue_bottle","c_q_scl_empty_bottle_appearance_liking","c_q_scl_empty_bottle_aroma_liking","t_q_scl_empty_bottle_overall_liking","c_s_organic","c_s_gender","c_s_age_group","c_s_brand_use","c_s_parent_type","c_s_child_age","c_s_child_gender","c_s_relationship","c_s_responsible_primary_care","c_s_responsible_purchase_product_child","c_s_breastfed","c_s_breastmilk_in_bottle","c_s_breastfed_duration","c_s_format","c_s_working_status","c_s_social","c_s_country"
1001,"Profutura EU",7,8,8,1,2,2,2,1,1,1,2,2,1,1,7,7,7,7,8,1,1,1,1,1,1,1,2,1,1,1,7,3,7,2,2,2,1,1,7,2,1,3,3,2,2,0,2,3,1,1
1002,"Profutura EU",8,8,8,1,1,2,1,1,1,1,1,2,1,1,8,8,8,7,8,1,1,2,1,1,1,1,2,1,1,1,8,8,9,1,2,4,2,2,11,1,1,2,2,2,2,0,2,2,2,1
1003,"Profutura EU",5,4,3,2,2,1,2,1,1,1,2,1,1,2,8,5,6,7,3,2,1,1,2,1,2,2,1,1,2,2,9,7,6,1,2,1,2,1,5,1,1,2,2,2,2,0,1,2,1,1
1004,"Profutura EU",8,8,8,1,1,2,1,1,1,1,1,1,1,1,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,8,7,9,1,2,3,2,2,6,1,1,1,1,1,2,2,2,3,2,1
1005,"Profutura EU",7,7,2,1,2,1,1,1,2,2,2,2,1,1,7,7,7,7,9,1,1,1,1,1,1,1,2,1,1,1,8,9,8,1,2,3,2,1,6,1,1,1,1,2,2,0,1,2,1,1
1006,"Profutura EU",4,5,3,1,1,2,1,2,2,2,1,1,2,1,6,5,5,4,5,1,1,1,2,1,1,1,2,1,1,2,5,5,6,1,2,2,1,2,2,2,1,1,1,0,1,2,1,3,2,1
1007,"Profutura EU",9,9,9,1,1,2,2,1,1,2,2,2,1,1,9,9,9,9,2,1,1,2,1,1,1,1,2,1,1,1,9,7,2,1,2,4,1,2,6,1,1,3,3,2,2,0,2,1,1,1
1008,"Profutura EU",9,10,10,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,10,10,10,1,2,3,1,2,12,2,1,1,1,1,1,1,1,1,1,1
1009,"Profutura EU",7,9,9,1,1,2,1,1,1,1,2,2,1,1,8,8,9,8,8,1,1,1,2,1,1,1,1,1,1,1,6,9,9,1,2,3,1,1,5,2,1,3,3,2,2,0,2,1,1,1
1010,"Profutura EU",10,10,8,1,1,2,2,1,1,2,1,2,1,1,10,10,10,10,10,1,1,1,1,1,1,1,2,1,1,1,10,10,10,1,2,4,2,2,7,1,1,3,3,2,2,0,1,1,2,1
1011,"Profutura EU",8,7,6,1,1,1,1,1,1,1,1,1,1,1,7,8,7,7,8,2,1,1,2,1,1,1,2,2,1,1,7,7,7,1,1,3,1,2,11,1,2,3,3,2,2,0,2,1,2,1
1012,"Profutura EU",7,8,4,1,1,2,1,2,1,2,1,1,1,1,4,5,8,4,4,1,1,1,1,2,1,2,2,2,1,2,3,3,4,1,2,2,1,1,5,1,1,2,2,1,2,1,2,3,2,1
1013,"Profutura EU",10,10,10,1,1,2,2,2,1,1,2,2,1,1,10,10,10,10,10,1,1,1,2,1,1,1,2,1,1,1,10,10,10,1,2,2,1,2,10,2,1,1,1,2,2,0,1,2,2,1
1014,"Profutura EU",5,5,3,1,1,2,2,2,1,2,2,1,1,1,5,5,4,3,5,1,1,1,1,1,1,2,1,1,1,2,5,4,5,1,2,3,2,2,3,2,1,1,1,1,2,1,1,2,1,1
1015,"Profutura EU",10,10,10,1,1,2,2,2,1,1,1,1,1,1,10,10,10,10,10,1,1,1,1,2,1,1,2,1,1,2,10,10,10,1,2,2,1,2,3,1,1,1,1,2,2,0,1,3,2,1
1016,"Profutura EU",5,5,1,1,1,2,1,1,1,2,2,2,1,1,5,5,6,4,7,1,1,1,1,1,1,2,2,1,1,1,6,2,5,2,2,4,1,2,11,1,1,1,1,0,0,0,1,4,2,1
1017,"Profutura EU",7,8,8,1,1,2,2,1,1,1,2,2,1,1,7,9,7,8,7,1,1,1,2,1,1,1,2,1,1,1,8,7,8,1,1,2,2,1,7,2,2,3,3,2,2,0,2,1,1,1
1018,"Profutura EU",8,8,7,1,1,2,1,1,1,1,2,1,1,1,7,6,6,6,5,1,1,1,1,1,1,1,1,1,2,2,8,5,6,1,1,4,2,2,11,1,2,1,1,2,2,0,1,2,1,1
1019,"Profutura EU",6,6,6,2,2,2,1,1,1,2,2,2,1,2,9,6,9,9,8,1,1,1,2,2,1,1,2,1,2,2,7,8,8,1,2,2,1,1,3,1,1,3,2,2,2,0,2,3,2,1
1020,"Profutura EU",10,10,10,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,10,10,10,1,2,3,2,2,11,1,1,2,2,1,2,3,1,3,2,1
1021,"Profutura EU",5,5,3,1,1,1,1,1,1,1,1,1,1,1,7,7,9,9,9,1,1,1,1,1,1,1,1,1,1,1,8,9,9,1,2,3,2,2,5,2,1,1,1,0,1,3,2,2,2,1
1022,"Profutura EU",8,5,5,2,2,1,1,2,1,1,1,2,2,2,10,9,6,9,10,1,1,1,2,1,1,1,1,1,2,1,10,8,9,1,2,2,1,2,11,1,1,1,1,2,2,0,1,1,2,1
1023,"Profutura EU",7,7,6,1,1,1,1,1,1,1,1,1,1,2,7,6,6,7,6,1,1,1,1,1,1,1,2,1,1,2,6,7,5,1,2,2,1,1,4,2,1,1,1,2,2,0,1,1,1,1
1024,"Profutura EU",5,5,5,1,1,1,1,1,1,2,1,2,1,1,5,5,5,7,6,1,1,1,2,2,1,1,1,1,1,2,6,7,6,1,2,4,1,2,7,2,1,1,1,0,1,2,2,1,1,1
1025,"Profutura EU",10,10,5,1,1,2,2,2,1,1,2,2,1,1,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,10,10,10,1,2,1,1,1,6,2,1,1,1,2,2,0,1,1,1,1
1026,"Profutura EU",5,6,5,2,1,1,1,1,2,1,1,1,1,1,7,6,6,5,6,1,1,1,1,1,1,1,1,2,2,1,6,8,6,1,2,2,1,1,3,2,1,3,3,2,2,0,1,1,1,1
